#protein_sequence_id	HMM bit score	COG	taxid.projectid (if possible)
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00155	202.4	COG0256	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00155._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00156	260.1	COG0098	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00156._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00158	196.4	COG0200	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00158._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00159	505.8	COG0201	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00159._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00165	201.2	COG0099	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00165._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00166	222.5	COG0100	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00166._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00167	282.0	COG0522	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00167._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00168	447.2	COG0202	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00168._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00174	206.3	COG0102	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00174._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00175	236.5	COG0103	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00175._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00866	465.9	COG0016	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_00866._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_01316	421.1	COG0552	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_01316._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_01318	777.4	COG0541	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_01318._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_02243	421.7	COG0052	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_02243._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_02647	1249.2	COG0495	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_02647._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_02794	554.6	COG0012	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_02794._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_02880	539.3	COG0124	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_02880._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_02982	636.4	COG0172	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_02982._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_03369	1454.0	COG0525	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|CDIF1296T_03369._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|ctg1_162	609.8	COG0533	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|ctg1_162._NA_
Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|ctg1_759	608.0	COG0018	Clostridioides_difficile_ATCC_9689_DSM_1296_genomic|CP011968-1|ctg1_759._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000002-1|BACCAP_RS00685	231.2	COG0103	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000002-1|BACCAP_RS00685._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000002-1|BACCAP_RS00690	186.2	COG0102	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000002-1|BACCAP_RS00690._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000004-1|BACCAP_RS01525	504.7	COG0172	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000004-1|BACCAP_RS01525._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000004-1|BACCAP_RS01560	440.2	COG0124	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000004-1|BACCAP_RS01560._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000010-1_52	124.6	COG0184	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000010-1_52._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000012-1|BACCAP_RS08405	751.8	COG0541	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000012-1|BACCAP_RS08405._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000013-1|BACCAP_RS09090	523.0	COG0533	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000013-1|BACCAP_RS09090._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000014-1|BACCAP_RS09275	1200.5	COG0495	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000014-1|BACCAP_RS09275._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000015-1|BACCAP_RS09845	567.8	COG0215	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000015-1|BACCAP_RS09845._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1_14	168.1	COG0185	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1_14._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1_19	142.9	COG0186	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1_19._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11595	300.6	COG0087	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11595._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11600	309.1	COG0088	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11600._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11610	417.4	COG0090	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11610._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11620	192.1	COG0091	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11620._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11625	387.5	COG0092	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11625._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11630	230.1	COG0197	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11630._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11645	208.7	COG0093	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11645._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11655	278.9	COG0094	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11655._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11665	194.1	COG0096	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11665._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11670	254.1	COG0097	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11670._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11675	201.7	COG0256	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11675._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11680	255.3	COG0098	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11680._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11690	204.4	COG0200	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11690._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11695	490.7	COG0201	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11695._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11725	197.2	COG0099	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11725._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11730	218.4	COG0100	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11730._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11735	262.9	COG0522	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11735._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11740	439.1	COG0202	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11740._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11950	536.6	COG0012	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS11950._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS13175	451.9	COG0086	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000028-1|BACCAP_RS13175._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000032-1|BACCAP_RS14210	256.4	COG0049	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000032-1|BACCAP_RS14210._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000032-1|BACCAP_RS14215	177.8	COG0048	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000032-1|BACCAP_RS14215._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000032-1|BACCAP_RS14230	2152.0	COG0085	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000032-1|BACCAP_RS14230._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000032-1|BACCAP_RS14335	1446.5	COG0525	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000032-1|BACCAP_RS14335._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000032-1|BACCAP_RS20240	1729.8	COG0086	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000032-1|BACCAP_RS20240._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000042-1|BACCAP_RS16310	415.0	COG0052	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000042-1|BACCAP_RS16310._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000042-1|BACCAP_RS16650	255.2	COG0080	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000042-1|BACCAP_RS16650._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000042-1|BACCAP_RS16655	343.2	COG0081	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000042-1|BACCAP_RS16655._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000045-1|BACCAP_RS17075	461.4	COG0016	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000045-1|BACCAP_RS17075._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000053-1|BACCAP_RS18780	412.6	COG0552	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000053-1|BACCAP_RS18780._NA_
GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000057-1|BACCAP_RS19495	577.8	COG0018	GCF_000169255-2_ASM16925v2_genomic|NZ_AAXG02000057-1|BACCAP_RS19495._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815203-1_607	110.6	COG0184	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815203-1_607._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815203-1|ctg1_878	448.0	COG0124	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815203-1|ctg1_878._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815204-1|HMPREF9448_RS05160	1236.4	COG0525	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815204-1|HMPREF9448_RS05160._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815204-1|HMPREF9448_RS06295	758.7	COG0541	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815204-1|HMPREF9448_RS06295._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815204-1|HMPREF9448_RS06365	584.0	COG0533	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815204-1|HMPREF9448_RS06365._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815204-1|HMPREF9448_RS06385	419.1	COG0552	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815204-1|HMPREF9448_RS06385._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815204-1|HMPREF9448_RS07400	412.7	COG0016	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815204-1|HMPREF9448_RS07400._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815205-1|HMPREF9448_RS09570	1696.8	COG0086	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815205-1|HMPREF9448_RS09570._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815205-1|HMPREF9448_RS09575	1983.0	COG0085	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815205-1|HMPREF9448_RS09575._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815205-1|HMPREF9448_RS09590	322.4	COG0081	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815205-1|HMPREF9448_RS09590._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815205-1|HMPREF9448_RS09595	246.4	COG0080	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815205-1|HMPREF9448_RS09595._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815205-1|HMPREF9448_RS11900	391.2	COG0052	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815205-1|HMPREF9448_RS11900._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815205-1|HMPREF9448_RS11905	212.6	COG0103	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815205-1|HMPREF9448_RS11905._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815205-1|HMPREF9448_RS11910	187.6	COG0102	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815205-1|HMPREF9448_RS11910._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1_24	146.8	COG0186	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1_24._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1_29	160.8	COG0185	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1_29._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS11965	402.6	COG0202	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS11965._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS11970	289.4	COG0522	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS11970._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS11975	194.9	COG0100	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS11975._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS11980	193.3	COG0099	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS11980._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS11995	520.0	COG0201	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS11995._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS12000	194.5	COG0200	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS12000._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS12010	238.5	COG0098	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS12010._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS12015	167.6	COG0256	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS12015._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS12020	247.1	COG0097	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS12020._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS12025	169.6	COG0096	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS12025._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS12035	262.5	COG0094	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS12035._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS12045	195.8	COG0093	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS12045._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS12060	202.7	COG0197	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS12060._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS12065	367.2	COG0092	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS12065._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS12070	168.7	COG0091	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS12070._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS12080	420.9	COG0090	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS12080._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS12090	286.5	COG0088	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS12090._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS12095	314.8	COG0087	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS12095._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS12110	215.0	COG0049	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS12110._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS12115	171.5	COG0048	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS12115._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS12510	631.3	COG0215	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS12510._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS12520	573.6	COG0018	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS12520._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS12860	1169.1	COG0495	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS12860._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS13095	555.7	COG0012	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS13095._NA_
GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS13810	516.7	COG0172	GCF_000296465-1_Barn_inte_YIT_11860_V1_genomic|NZ_JH815206-1|HMPREF9448_RS13810._NA_
