Funct	Description
M00061	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P
M00063	CMP-KDO biosynthesis
M00064	ADP-L-glycero-D-manno-heptose biosynthesis
M00065	GPI-anchor biosynthesis, core oligosaccharide
M00066	Lactosylceramide biosynthesis
M00067	Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid
M00068	Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer
M00069	Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3
M00070	Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer
M00071	Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer
M00072	N-glycosylation by oligosaccharyltransferase
M00073	N-glycan precursor trimming
M00074	N-glycan biosynthesis, high-mannose type
M00075	N-glycan biosynthesis, complex type
M00076	Dermatan sulfate degradation
M00077	Chondroitin sulfate degradation
M00078	Heparan sulfate degradation
M00079	Keratan sulfate degradation
M00080	Lipopolysaccharide biosynthesis, inner core => outer core => O-antigen
M00081	Pectin degradation
M00082	Fatty acid biosynthesis, initiation
M00083	Fatty acid biosynthesis, elongation
M00085	Fatty acid elongation in mitochondria
M00086	beta-Oxidation, acyl-CoA synthesis
M00087	beta-Oxidation
M00088	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone
M00089	Triacylglycerol biosynthesis
M00090	Phosphatidylcholine (PC) biosynthesis, choline => PC
M00091	Phosphatidylcholine (PC) biosynthesis, PE => PC
M00092	Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE
M00093	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE
M00094	Ceramide biosynthesis
M00095	C5 isoprenoid biosynthesis, mevalonate pathway
M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway
M00097	beta-Carotene biosynthesis, GGAP => beta-carotene
M00098	Acylglycerol degradation
M00099	Sphingosine biosynthesis
M00100	Sphingosine degradation
M00101	Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol
M00102	Ergocalciferol biosynthesis, squalene 2,3-epoxide => ergosterol/ergocalciferol
M00103	Cholecalciferol biosynthesis
M00104	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate
M00106	Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate
M00107	Steroid hormone biosynthesis, cholesterol => pregnenolone => progesterone
M00108	C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone
M00109	C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone
M00110	C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone
M00112	Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol
M00113	Jasmonic acid biosynthesis
M00114	Ascorbate biosynthesis, plants, fructose-6P => ascorbate
M00115	NAD biosynthesis, aspartate => quinolinate => NAD
M00116	Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol
M00117	Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol
M00118	Glutathione biosynthesis, glutamate => glutathione
M00119	Pantothenate biosynthesis, valine/L-aspartate => pantothenate
M00120	Coenzyme A biosynthesis, pantothenate => CoA
M00121	Heme biosynthesis, plants and bacteria, glutamate => heme
M00122	Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin
M00123	Biotin biosynthesis, pimeloyl-ACP/CoA => biotin
M00124	Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P
M00125	Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD
M00126	Tetrahydrofolate biosynthesis, GTP => THF
M00127	Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP
M00128	Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate + polyprenyl-PP => ubiquinol
M00129	Ascorbate biosynthesis, animals, glucose-1P => ascorbate
M00130	Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4
M00131	Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol
M00132	Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate
M00133	Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine
M00134	Polyamine biosynthesis, arginine => ornithine => putrescine
M00135	GABA biosynthesis, eukaryotes, putrescine => GABA
M00136	GABA biosynthesis, prokaryotes, putrescine => GABA
M00137	Flavanone biosynthesis, phenylalanine => naringenin
M00138	Flavonoid biosynthesis, naringenin => pelargonidin
M00140	C1-unit interconversion, prokaryotes
M00141	C1-unit interconversion, eukaryotes
M00142	NADH:ubiquinone oxidoreductase, mitochondria
M00143	NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria
M00144	NADH:quinone oxidoreductase, prokaryotes
M00145	NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria
M00146	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex
M00147	NADH dehydrogenase (ubiquinone) 1 beta subcomplex
M00148	Succinate dehydrogenase (ubiquinone)
M00149	Succinate dehydrogenase, prokaryotes
M00150	Fumarate reductase, prokaryotes
M00151	Cytochrome bc1 complex respiratory unit
M00152	Cytochrome bc1 complex
M00153	Cytochrome bd ubiquinol oxidase
M00154	Cytochrome c oxidase
M00155	Cytochrome c oxidase, prokaryotes
M00156	Cytochrome c oxidase, cbb3-type
M00157	F-type ATPase, prokaryotes and chloroplasts
M00158	F-type ATPase, eukaryotes
M00159	V/A-type ATPase, prokaryotes
M00160	V-type ATPase, eukaryotes
M00161	Photosystem II
M00162	Cytochrome b6f complex
M00163	Photosystem I
M00165	Reductive pentose phosphate cycle (Calvin cycle)
M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
M00167	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P
M00168	CAM (Crassulacean acid metabolism), dark
M00169	CAM (Crassulacean acid metabolism), light
M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
M00171	C4-dicarboxylic acid cycle, NAD - malic enzyme type
M00172	C4-dicarboxylic acid cycle, NADP - malic enzyme type
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)
M00174	Methane oxidation, methanotroph, methane => formaldehyde
M00175	Nitrogen fixation, nitrogen => ammonia
M00176	Assimilatory sulfate reduction, sulfate => H2S
M00177	Ribosome, eukaryotes
M00178	Ribosome, bacteria
M00179	Ribosome, archaea
M00180	RNA polymerase II, eukaryotes
M00181	RNA polymerase III, eukaryotes
M00182	RNA polymerase I, eukaryotes
M00183	RNA polymerase, bacteria
M00184	RNA polymerase, archaea
M00185	Sulfate transport system
M00186	Tungstate transport system
M00188	NitT/TauT family transport system
M00189	Molybdate transport system
M00190	Iron(III) transport system
M00191	Thiamine transport system
M00192	Putative thiamine transport system
M00193	Putative spermidine/putrescine transport system
M00194	Maltose/maltodextrin transport system
M00196	Raffinose/stachyose/melibiose transport system
M00197	Putative fructooligosaccharide transport system
M00198	Putative sn-glycerol-phosphate transport system
M00199	L-Arabinose/lactose transport system
M00200	Putative sorbitol/mannitol transport system
M00201	alpha-Glucoside transport system
M00202	Oligogalacturonide transport system
M00203	Glucose/arabinose transport system
M00204	Trehalose/maltose transport system
M00205	N-Acetylglucosamine transport system
M00206	Cellobiose transport system
M00207	Putative multiple sugar transport system
M00208	Glycine betaine/proline transport system
M00209	Osmoprotectant transport system
M00210	Phospholipid transport system
M00211	Putative ABC transport system
M00212	Ribose transport system
M00213	L-Arabinose transport system
M00214	Methyl-galactoside transport system
M00215	D-Xylose transport system
M00216	Multiple sugar transport system
M00217	D-Allose transport system
M00218	Fructose transport system
M00219	AI-2 transport system
M00220	Rhamnose transport system
M00221	Putative simple sugar transport system
M00222	Phosphate transport system
M00223	Phosphonate transport system
M00224	Fluoroquinolone transport system
M00225	Lysine/arginine/ornithine transport system
M00226	Histidine transport system
M00227	Glutamine transport system
M00228	Putative glutamine transport system
M00229	Arginine transport system
M00230	Glutamate/aspartate transport system
M00231	Octopine/nopaline transport system
M00232	General L-amino acid transport system
M00233	Glutamate transport system
M00234	Cystine transport system
M00235	Arginine/ornithine transport system
M00236	Putative polar amino acid transport system
M00237	Branched-chain amino acid transport system
M00238	D-Methionine transport system
M00239	Peptides/nickel transport system
M00240	Iron complex transport system
M00241	Vitamin B12 transport system
M00242	Zinc transport system
M00243	Manganese/iron transport system
M00244	Putative zinc/manganese transport system
M00245	Cobalt/nickel transport system
M00246	Nickel transport system
M00247	Putative ABC transport system
M00249	Capsular polysaccharide transport system
M00250	Lipopolysaccharide transport system
M00251	Teichoic acid transport system
M00252	Lipooligosaccharide transport system
M00253	Sodium transport system
M00254	ABC-2 type transport system
M00255	Lipoprotein-releasing system
M00256	Cell division transport system
M00257	Hemin transport system
M00258	Putative ABC transport system
M00259	Heme transport system
M00260	DNA polymerase III complex, bacteria
M00261	DNA polymerase alpha / primase complex
M00262	DNA polymerase delta complex
M00263	DNA polymerase epsilon complex
M00264	DNA polymerase II complex, archaea
M00265	PTS system, glucose-specific II component
M00266	PTS system, maltose/glucose-specific II component
M00267	PTS system, N-acetylglucosamine-specific II component
M00268	PTS system, alpha-glucoside-specific II component
M00269	PTS system, sucrose-specific II component
M00270	PTS system, trehalose-specific II component
M00271	PTS system, beta-glucoside-specific II component
M00272	PTS system, beta-glucoside (arbutin/salicin/cellobiose)-specific II component
M00273	PTS system, fructose-specific II component
M00274	PTS system, mannitol-specific II component
M00275	PTS system, cellobiose-specific II component
M00276	PTS system, mannose-specific II component
M00277	PTS system, N-acetylgalactosamine-specific II component
M00278	PTS system, sorbose-specific II component
M00279	PTS system, galactitol-specific II component
M00280	PTS system, glucitol/sorbitol-specific II component
M00281	PTS system, lactose-specific II component
M00282	PTS system, D-glucosamine-specific II component
M00283	PTS system, ascorbate-specific II component
M00284	Origin recognition complex
M00285	MCM complex
M00286	GINS complex
M00287	PTS system, galactosamine-specific II component
M00288	RPA complex
M00289	RF-C complex
M00290	Holo-TFIIH complex
M00291	MRN complex
M00292	MRX complex
M00293	DNA polymerase zeta complex
M00294	DNA polymerase gamma complex
M00295	BRCA1-associated genome surveillance complex (BASC)
M00296	BER complex
M00297	DNA-PK complex
M00298	Multidrug/hemolysin transport system
M00299	Spermidine/putrescine transport system
M00300	Putrescine transport system
M00301	Mannopine transport system
M00302	2-Aminoethylphosphonate transport system
M00303	PTS system, N-acetylmuramic acid-specific II component
M00304	PTS system, fructose-specific II component
M00305	PTS system, 2-O-A-mannosyl-D-glycerate-specific II component
M00306	PTS system, fructose-specific II-like component
M00307	Pyruvate oxidation, pyruvate => acetyl-CoA
M00308	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P
M00309	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate
M00314	Bacitracin transport system
M00315	Uncharacterized ABC transport system
M00316	Manganese transport system
M00317	Manganese/iron transport system
M00318	Iron/zinc/manganese/copper transport system
M00319	Manganese/zinc/iron transport system
M00320	Lipopolysaccharide export system
M00321	Bicarbonate transport system
M00322	Neutral amino acid transport system
M00323	Urea transport system
M00324	Dipeptide transport system
M00325	alpha-Hemolysin/cyclolysin transport system
M00326	RTX toxin transport system
M00327	S-Layer protein transport system
M00328	Hemophore/metalloprotease transport system
M00329	Multiple protein transport system
M00330	Adhesin protein transport system
M00331	Type II general secretion pathway
M00332	Type III secretion system
M00333	Type IV secretion system
M00334	Type VI secretion system
M00335	Sec (secretion) system
M00336	Twin-arginine translocation (Tat) system
M00337	Immunoproteasome
M00338	Cysteine biosynthesis, homocysteine + serine => cysteine
M00339	RaxAB-RaxC type I secretion system
M00340	Proteasome, 20S core particle
M00341	Proteasome, 19S regulatory particle (PA700)
M00342	Bacterial proteasome
M00343	Archaeal proteasome
M00344	Formaldehyde assimilation, xylulose monophosphate pathway
M00345	Formaldehyde assimilation, ribulose monophosphate pathway
M00346	Formaldehyde assimilation, serine pathway
M00348	Glutathione transport system
M00349	Microcin C transport system
M00350	Capsaicin biosynthesis, L-Phenylalanine => Capsaicin
M00351	Spliceosome, U1-snRNP
M00352	Spliceosome, U2-snRNP
M00353	Spliceosome, Prp19/CDC5L complex
M00354	Spliceosome, U4/U6.U5 tri-snRNP
M00355	Spliceosome, 35S U5-snRNP
M00356	Methanogenesis, methanol => methane
M00357	Methanogenesis, acetate => methane
M00358	Coenzyme M biosynthesis
M00359	Aminoacyl-tRNA biosynthesis, eukaryotes
M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
M00361	Nucleotide sugar biosynthesis, eukaryotes
M00362	Nucleotide sugar biosynthesis, prokaryotes
M00363	EHEC pathogenicity signature, Shiga toxin
M00364	C10-C20 isoprenoid biosynthesis, bacteria
M00365	C10-C20 isoprenoid biosynthesis, archaea
M00366	C10-C20 isoprenoid biosynthesis, plants
M00367	C10-C20 isoprenoid biosynthesis, non-plant eukaryotes
M00368	Ethylene biosynthesis, methionine => ethylene
M00369	Cyanogenic glycoside biosynthesis, tyrosine => dhurrin
M00370	Glucosinolate biosynthesis, tryptophan => glucobrassicin
M00371	Castasterone biosynthesis, campesterol => castasterone
M00372	Abscisic acid biosynthesis, beta-carotene => abscisic acid
M00373	Ethylmalonyl pathway
M00374	Dicarboxylate-hydroxybutyrate cycle
M00375	Hydroxypropionate-hydroxybutylate cycle
M00376	3-Hydroxypropionate bi-cycle
M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
M00378	F420 biosynthesis, archaea
M00379	SCF-MET30 complex
M00380	SCF-BTRC complex
M00381	SCF-SKP2 complex
M00382	SCF-FBS complex
M00383	ECV complex
M00384	Cul3-SPOP complex
M00385	Cul4-DDB1-DDB2 complex
M00386	Cul4-DDB1-CSA complex
M00387	SCF-FBW7 complex
M00388	ECS complex
M00389	APC/C complex
M00390	Exosome, archaea
M00391	Exosome, eukaryotes
M00392	Ski complex
M00393	TRAMP complex
M00394	RNA degradosome
M00395	Decapping complex
M00396	Lsm 2-8 complex
M00397	Lsm 1-7 complex
M00398	Sm core complex
M00399	Cap binding complex
M00400	p97-Ufd1-Npl4 complex
M00401	Sec61 complex
M00402	Translocon-associated protein (TRAP) complex
M00403	HRD1/SEL1 ERAD complex
M00404	COPII complex
M00405	THC complex
M00406	TREX complex
M00407	SCF-CDC4 complex
M00408	ESCRT-0 complex
M00409	ESCRT-I complex
M00410	ESCRT-II complex
M00411	SCF-GRR1 complex
M00412	ESCRT-III complex
M00413	FA core complex
M00414	Bloom's syndrome complex
M00415	Fatty acid elongation in endoplasmic reticulum
M00416	Cytochrome aa3-600 menaquinol oxidase
M00417	Cytochrome o ubiquinol oxidase
M00418	Toluene degradation, anaerobic, toluene => benzoyl-CoA
M00419	Cymene degradation, p-cymene => p-cumate
M00422	Acetyl-CoA pathway, CO2 => acetyl-CoA
M00423	Molybdate/tungstate transport system
M00424	Shelterin complex
M00425	H/ACA ribonucleoprotein complex
M00426	Survival motor neuron (SMN) complex
M00427	Nuclear pore complex
M00428	eIF4F complex
M00429	Competence-related DNA transformation transporter
M00430	Exon junction complex (EJC)
M00432	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate
M00433	Lysine biosynthesis, 2-oxoglutarate => 2-oxoadipate
M00434	PhoR-PhoB (phosphate starvation response) two-component regulatory system
M00435	Taurine transport system
M00436	Sulfonate transport system
M00437	Phthalate transport system
M00438	Nitrate/nitrite transport system
M00439	Oligopeptide transport system
M00440	Nickel transport system
M00442	Putative hydroxymethylpyrimidine transport system
M00443	SenX3-RegX3 (phosphate starvation response) two-component regulatory system
M00444	PhoQ-PhoP (magnesium transport) two-component regulatory system
M00445	EnvZ-OmpR (osmotic stress response) two-component regulatory system
M00446	RstB-RstA two-component regulatory system
M00447	CpxA-CpxR (envelope stress response) two-component regulatory system
M00448	CssS-CssR (secretion stress response) two-component regulatory system
M00449	CreC-CreB (phosphate regulation) two-component regulatory system
M00450	BaeS-BaeR (envelope stress response) two-component regulatory system
M00451	BasS-BasR (antimicrobial peptide resistance) two-component regulatory system
M00452	CusS-CusR (copper tolerance) two-component regulatory system
M00453	QseC-QseB (quorum sensing) two-component regulatory system
M00454	KdpD-KdpE (potassium transport) two-component regulatory system
M00455	TorS-TorR (TMAO respiration) two-component regulatory system
M00456	ArcB-ArcA (anoxic redox control) two-component regulatory system
M00457	TctE-TctD (tricarboxylic acid transport) two-component regulatory system
M00458	ResE-ResD (aerobic and anaerobic respiration) two-component regulatory system
M00459	VicK-VicR (cell wall metabolism) two-component regulatory system
M00460	MprB-MprA (maintenance of persistent infection) two-component regulatory system
M00461	MtrB-MtrA (osmotic stress response) two-component regulatory system
M00462	PrrB-PrrA (intracellular multiplication) two-component regulatory system
M00463	TrcS-TrcR two-component regulatory system
M00464	NrsS-NrsR (nickel tolerance) two-component regulatory system
M00465	ManS-ManR (manganese homeostasis) two-component regulatory system
M00466	NblS-NblR (photosynthesis) two-component regulatory system
M00467	SasA-RpaAB (circadian timing mediating) two-component regulatory system
M00468	SaeS-SaeR (staphylococcal virulence regulation) two-component regulatory system
M00469	BceS-BceR (bacitracin transport) two-component regulatory system
M00470	YxdK-YxdJ (antimicrobial peptide response) two-component regulatory system
M00471	NarX-NarL (nitrate respiration) two-component regulatory system
M00472	NarQ-NarP (nitrate respiration) two-component regulatory system
M00473	UhpB-UhpA (hexose phosphates uptake) two-component regulatory system
M00474	RcsC-RcsD-RcsB (capsule synthesis) two-component regulatory system
M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system
M00476	ComP-ComA (competence) two-component regulatory system
M00477	EvgS-EvgA (acid and drug tolerance) two-component regulatory system
M00478	DegS-DegU (multicellular behavior control) two-component regulatory system
M00479	DesK-DesR (membrane lipid fluidity regulation) two-component regulatory system
M00480	VraS-VraR (cell-wall peptidoglycan synthesis) two-component regulatory system
M00481	LiaS-LiaR (cell wall stress response) two-component regulatory system
M00482	DevS-DevR (redox response) two-component regulatory system
M00483	NreB-NreC (dissimilatory nitrate/nitrite reduction) two-component regulatory system
M00484	YdfH-YdfI two-component regulatory system
M00485	KinABCDE-Spo0FA (sporulation control) two-component regulatory system
M00486	CitA-CitB (citrate fermentation) two-component regulatory system
M00487	CitS-CitT (magnesium-citrate transport) two-component regulatory system
M00488	DcuS-DcuR (C4-dicarboxylate metabolism) two-component regulatory system
M00489	DctS-DctR (C4-dicarboxylate transport) two-component regulatory system
M00490	MalK-MalR (malate transport) two-component regulatory system
M00491	arabinogalactan oligomer/maltooligosaccharide transport system
M00492	LytS-LytR two-component regulatory system
M00493	AlgZ-AlgR (alginate production) two-component regulatory system
M00494	NatK-NatR (sodium extrusion) two-component regulatory system
M00495	AgrC-AgrA (exoprotein synthesis) two-component regulatory system
M00496	ComD-ComE (competence) two-component regulatory system
M00497	GlnL-GlnG (nitrogen regulation) two-component regulatory system
M00498	NtrY-NtrX (nitrogen regulation) two-component regulatory system
M00499	HydH-HydG (metal tolerance) two-component regulatory system
M00500	AtoS-AtoC (cPHB biosynthesis) two-component regulatory system
M00501	PilS-PilR (type 4 fimbriae synthesis) two-component regulatory system
M00502	GlrK-GlrR (amino sugar metabolism) two-component regulatory system
M00503	PgtB-PgtA (phosphoglycerate transport) two-component regulatory system
M00504	DctB-DctD (C4-dicarboxylate transport) two-component regulatory system
M00505	KinB-AlgB (alginate production) two-component regulatory system
M00506	CheA-CheYBV (chemotaxis) two-component regulatory system
M00507	ChpA-ChpB/PilGH (chemosensory) two-component regulatory system
M00508	PixL-PixGH (positive phototaxis) two-component regulatory system
M00509	WspE-WspRF (chemosensory) two-component regulatory system
M00510	Cph1-Rcp1 (light response) two-component regulatory system
M00511	PleC-PleD (cell fate control) two-component regulatory system
M00512	CckA-CtrA/CpdR (cell cycle control) two-component regulatory system
M00513	LuxQN/CqsS-LuxU-LuxO (quorum sensing) two-component regulatory system
M00514	TtrS-TtrR (tetrathionate respiration) two-component regulatory system
M00515	FlrB-FlrC (polar flagellar synthesis) two-component regulatory system
M00516	SLN1-YPD1-SSK1/SKN7 (osmosensing) two-component regulatory system
M00517	RpfC-RpfG (cell-to-cell signaling) two-component regulatory system
M00518	GlnK-GlnL (glutamine utilization) two-component regulatory system
M00519	YesM-YesN two-component regulatory system
M00520	ChvG-ChvI (acidity sensing) two-component regulatory system
M00521	CiaH-CiaR two-component regulatory system
M00522	SalK-SalR two-component regulatory system
M00523	RegB-RegA (redox response) two-component regulatory system
M00524	FixL-FixJ (nitrogen fixation) two-component regulatory system
M00525	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine
M00526	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine
M00527	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine
M00528	Nitrification, ammonia => nitrite
M00529	Denitrification, nitrate => nitrogen
M00530	Dissimilatory nitrate reduction, nitrate => ammonia
M00531	Assimilatory nitrate reduction, nitrate => ammonia
M00532	Photorespiration
M00533	Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate
M00534	Naphthalene degradation, naphthalene => salicylate
M00535	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate
M00537	Xylene degradation, xylene => methylbenzoate
M00538	Toluene degradation, toluene => benzoate
M00539	Cumate degradation, p-cumate => 2-oxopent-4-enoate + 2-methylpropanoate
M00540	Benzoate degradation, cyclohexanecarboxylic acid =>pimeloyl-CoA
M00541	Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA
M00542	EHEC/EPEC pathogenicity signature, T3SS and effectors
M00543	Biphenyl degradation, biphenyl => 2-oxopent-4-enoate + benzoate
M00544	Carbazole degradation, carbazole => 2-oxopent-4-enoate + anthranilate
M00545	Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA
M00546	Purine degradation, xanthine => urea
M00547	Benzene/toluene degradation, benzene => catechol / toluene => 3-methylcatechol
M00548	Benzene degradation, benzene => catechol
M00549	Nucleotide sugar biosynthesis, glucose => UDP-glucose
M00550	Ascorbate degradation, ascorbate => D-xylulose-5P
M00551	Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol
M00552	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P
M00554	Nucleotide sugar biosynthesis, galactose => UDP-galactose
M00555	Betaine biosynthesis, choline => betaine
M00563	Methanogenesis, methylamine/dimethylamine/trimethylamine => methane
M00564	Helicobacter pylori pathogenicity signature, cagA pathogenicity island
M00565	Trehalose biosynthesis, D-glucose 1P => trehalose
M00566	Dipeptide transport system, Firmicutes
M00567	Methanogenesis, CO2 => methane
M00568	Catechol ortho-cleavage, catechol => 3-oxoadipate
M00569	Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA
M00570	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine
M00571	AlgE-type Mannuronan C-5-Epimerase transport system
M00572	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP
M00573	Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin
M00574	Pertussis pathogenicity signature, pertussis toxin
M00575	Pertussis pathogenicity signature, T1SS
M00576	ETEC pathogenicity signature, heat-labile and heat-stable enterotoxins
M00577	Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin
M00579	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate
M00580	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P
M00581	Biotin transport system
M00582	Energy-coupling factor transport system
M00583	Putative peptide transport system
M00584	Acetoin utilization transport system
M00585	L-Cystine transport system
M00586	Putative amino-acid transport system
M00587	Arginine/lysine/histidine/glutamine transport system
M00589	Putative lysine transport system
M00590	Erythritol transport system
M00591	Putative xylitol transport system
M00592	Inositol transport system
M00593	Inositol transport system
M00595	Thiosulfate oxidation by SOX complex, thiosulfate => sulfate
M00596	Dissimilatory sulfate reduction, sulfate => H2S
M00597	Anoxygenic photosystem II
M00598	Anoxygenic photosystem I
M00599	Inositol-phosphate transport system
